distance;n_common_business_interest;skills_distinct_sum;common_skills;hobbies_distinct_sum;common_hobbies;proximityScore;businessInterestsScore;skillsScore;hobbiesScore;total_score
400;2;3;3;3;0;20,88;23,32;0;0;44,2
400;2;5;5;4;0;20,88;23,32;0;0;44,2
400;2;2;2;2;0;20,88;23,32;0;0;44,2
400;2;4;4;4;0;20,88;23,32;0;0;44,2
400;2;5;5;2;0;20,88;23,32;0;0;44,2
400;2;4;4;3;0;20,88;23,32;0;0;44,2
400;2;5;5;3;0;20,88;23,32;0;0;44,2
400;0;3;1;3;2;20,88;0;13,33;10;44,21
300;0;5;1;4;1;24,56;0;16;3,75;44,32
400;0;5;1;2;1;20,88;0;16;7,5;44,38
400;0;5;1;4;2;20,88;0;16;7,5;44,38
200;0;5;3;4;2;28,9;0;8;7,5;44,4
200;0;5;3;2;1;28,9;0;8;7,5;44,4
100;0;3;2;4;1;34;0;6,67;3,75;44,42
300;0;4;0;2;0;24,56;0;20;0;44,56
300;0;4;1;3;1;24,56;0;15;5;44,56
300;0;4;2;3;2;24,56;0;10;10;44,56
300;0;3;0;4;0;24,56;0;20;0;44,56
300;0;4;3;2;2;24,56;0;5;15;44,56
300;0;4;3;3;3;24,56;0;5;15;44,56
300;0;3;0;3;0;24,56;0;20;0;44,56
300;0;5;0;3;0;24,56;0;20;0;44,56
300;0;3;0;2;0;24,56;0;20;0;44,56
300;0;5;0;2;0;24,56;0;20;0;44,56
300;0;5;0;4;0;24,56;0;20;0;44,56
300;0;2;1;3;2;24,56;0;10;10;44,56
300;0;4;0;4;0;24,56;0;20;0;44,56
300;0;2;0;4;0;24,56;0;20;0;44,56
300;0;4;0;3;0;24,56;0;20;0;44,56
300;0;2;0;2;0;24,56;0;20;0;44,56
300;0;2;0;3;0;24,56;0;20;0;44,56
300;0;4;3;4;4;24,56;0;5;15;44,56
400;1;2;2;3;1;20,88;18,75;0;5;44,63
400;1;5;5;3;1;20,88;18,75;0;5;44,63
400;1;4;4;3;1;20,88;18,75;0;5;44,63
